RowNumber,CustomerId,CreditScore,GeographyID,GenderID,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited,"Bank DOJ"
1,15634602,619,1,2,42,7,0,1,1,1,101348.88,1,23-03-2016
2,15647311,608,2,2,41,4,83807.86,1,0,1,112542.58,0,09-10-2018
3,15619304,502,1,2,42,4,159660.8,3,1,0,113931.57,1,25-03-2019
4,15701354,699,1,2,39,3,0,2,0,0,93826.63,0,24-10-2019
5,15737888,850,2,2,43,3,125510.82,1,1,1,79084.1,0,22-11-2019
6,15574012,645,2,1,44,4,113755.78,2,1,0,149756.71,1,21-12-2018
7,15592531,822,1,1,50,6,0,2,1,1,10062.8,0,28-09-2016
8,15656148,376,3,2,29,5,115046.74,4,1,0,119346.88,1,20-04-2018
9,15792365,501,1,1,44,5,142051.07,2,0,1,74940.5,0,04-02-2018
10,15592389,684,1,1,27,5,134603.88,1,1,1,71725.73,0,27-05-2018
11,15767821,528,1,1,31,7,102016.72,2,0,0,80181.12,0,27-07-2016
12,15737173,497,2,1,24,7,0,2,1,0,76390.01,0,12-09-2016
13,15632264,476,1,2,34,3,0,2,1,0,26260.98,0,04-11-2019
14,15691483,549,1,2,25,6,0,2,0,0,190857.79,0,21-12-2016
15,15600882,635,2,2,35,6,0,2,1,1,65951.65,0,22-03-2017
16,15643966,616,3,1,45,4,143129.41,2,0,1,64327.26,0,18-01-2019
17,15737452,653,3,1,58,4,132602.88,1,1,0,5097.67,1,08-10-2018
18,15788218,549,2,2,24,3,0,2,1,1,14406.41,0,09-10-2019
19,15661507,587,2,1,45,3,0,1,0,0,158684.81,0,20-10-2019
20,15568982,726,1,2,24,5,0,2,1,1,54724.03,0,15-03-2018
21,15577657,732,1,1,41,5,0,2,1,1,170886.17,0,30-12-2017
22,15597945,636,2,2,32,5,0,2,1,0,138555.46,0,05-03-2018
23,15699309,510,2,2,38,4,0,1,1,0,118913.53,1,03-04-2019
24,15725737,669,1,1,46,3,0,2,0,1,8487.75,0,26-09-2019
25,15625047,846,1,2,38,5,0,1,1,1,187616.16,0,08-11-2017
26,15738191,577,1,1,25,6,0,2,0,1,124508.29,0,23-11-2016
27,15736816,756,3,1,36,4,136815.64,1,1,1,170041.95,0,26-10-2018
28,15700772,571,1,1,44,4,0,2,0,0,38433.35,0,02-12-2018
29,15728693,574,3,2,43,5,141349.43,1,1,1,100187.43,0,26-06-2018
30,15656300,411,1,1,29,4,59697.17,2,1,1,53483.21,0,22-08-2019
31,15589475,591,2,2,39,5,0,3,1,0,140469.38,1,12-11-2017
32,15706552,533,1,1,36,4,85311.7,1,0,1,156731.91,0,26-08-2019
33,15750181,553,3,1,41,5,110112.54,2,0,0,81898.81,0,03-09-2018
34,15659428,520,2,2,42,4,0,2,1,1,34410.55,0,28-08-2019
35,15732963,722,2,2,29,6,0,2,1,1,142033.07,0,31-01-2017
36,15794171,475,1,2,45,5,134264.04,1,1,0,27822.99,1,23-09-2017
37,15788448,490,2,1,31,7,145260.23,1,0,1,114066.77,0,09-04-2016
38,15729599,804,2,1,33,4,76548.6,1,0,1,98453.45,0,18-01-2019
39,15717426,850,1,1,36,5,0,1,1,1,40812.9,0,11-03-2018
40,15585768,582,3,1,41,6,70349.48,2,0,1,178074.04,0,22-11-2016
41,15619360,472,2,1,40,5,0,1,1,0,70154.22,0,11-05-2018
42,15738148,465,1,2,51,6,122522.32,1,0,0,181297.65,1,09-11-2016
43,15687946,556,1,2,61,5,117419.35,1,1,1,94153.83,0,08-03-2018
44,15755196,834,1,2,49,6,131394.56,1,0,0,194365.76,1,01-05-2017
45,15684171,660,2,2,61,7,155931.11,1,1,1,158338.39,0,17-09-2016
46,15754849,776,3,2,32,6,109421.13,2,1,1,126517.46,0,14-12-2016
47,15602280,829,3,2,27,5,112045.67,1,1,1,119708.21,1,29-05-2018
48,15771573,637,3,2,39,7,137843.8,1,1,1,117622.8,1,25-03-2016
49,15766205,550,3,1,38,4,103391.38,1,0,1,90878.13,0,30-11-2018
50,15771873,776,3,2,37,4,103769.22,2,1,0,194099.12,0,21-06-2019
51,15616550,698,3,1,44,6,116363.37,2,1,0,198059.16,0,30-03-2017
52,15768193,585,3,1,36,4,146050.97,2,0,0,86424.57,0,12-05-2019
53,15683553,788,1,2,33,5,0,2,0,0,116978.19,0,13-03-2018
54,15702298,655,3,1,41,5,125561.97,1,0,0,164040.94,1,17-09-2018
55,15569590,601,3,1,42,7,98495.72,1,1,0,40014.76,1,21-06-2016
56,15760861,619,1,1,43,6,125211.92,1,1,1,113410.49,0,20-03-2017
57,15630053,656,1,1,45,6,127864.4,1,1,0,87107.57,0,21-09-2017
58,15647091,725,3,1,19,6,75888.2,1,0,0,45613.75,0,28-08-2017
59,15623944,511,2,2,66,7,0,1,1,0,1643.11,1,21-09-2016
60,15804771,614,1,1,51,4,40685.92,1,1,1,46775.28,0,10-01-2019
61,15651280,742,3,1,35,6,136857,1,0,0,84509.57,0,19-06-2017
62,15773469,687,3,2,27,4,152328.88,2,0,0,126494.82,0,29-11-2018
63,15702014,555,2,1,33,5,56084.69,2,0,0,178798.13,0,11-06-2018
64,15751208,684,2,1,56,4,78707.16,1,1,1,99398.36,0,27-01-2019
65,15592461,603,3,1,26,4,109166.37,1,1,1,92840.67,0,02-04-2019
66,15789484,751,3,2,36,6,169831.46,2,1,1,27758.36,0,26-05-2017
67,15696061,581,3,2,34,4,101633.04,1,1,0,110431.51,0,31-01-2019
68,15641582,735,3,1,43,6,123180.01,2,1,1,196673.28,0,22-11-2016
69,15638424,661,3,2,35,3,150725.53,2,0,1,113656.85,0,26-09-2019
70,15755648,675,1,2,21,5,98373.26,1,1,0,18203,0,28-08-2018
71,15703793,738,3,1,58,3,133745.44,4,1,0,28373.86,1,25-12-2019
72,15620344,813,1,1,29,6,0,1,1,0,33953.87,0,03-12-2016
73,15812518,657,2,2,37,6,163607.18,1,0,1,44203.55,0,29-01-2017
74,15779052,604,3,2,25,4,157780.84,2,1,1,58426.81,0,06-05-2019
75,15770811,519,1,1,36,6,0,2,0,1,145562.4,0,01-09-2017
76,15780961,735,1,2,21,5,178718.19,2,1,0,22388,0,09-07-2018
77,15614049,664,1,1,55,5,0,2,1,1,139161.64,0,04-09-2018
78,15662085,678,1,2,32,7,0,1,1,1,148210.64,0,14-09-2016
79,15575185,757,2,1,33,6,77253.22,1,0,1,194239.63,0,15-05-2017
80,15803136,416,3,2,41,4,122189.66,2,1,0,98301.61,0,25-08-2019
81,15706021,665,1,2,34,6,96645.54,2,0,0,171413.66,0,31-10-2016
82,15663706,777,1,2,32,7,0,1,1,0,136458.19,1,25-05-2016
83,15641732,543,1,2,36,4,0,2,0,0,26019.59,0,15-04-2019
84,15701164,506,1,2,34,4,90307.62,1,1,1,159235.29,0,17-11-2018
85,15738751,493,1,2,46,5,0,2,1,0,1907.66,0,06-12-2017
86,15805254,652,2,2,75,3,0,2,1,1,114675.75,0,03-11-2019
87,15762418,750,2,1,22,5,121681.82,1,1,0,128643.35,1,27-11-2017
88,15625759,729,1,1,30,6,0,2,1,0,151869.35,0,24-09-2016
89,15622897,646,1,2,46,5,0,3,1,0,93251.42,1,04-11-2017
90,15767954,635,3,2,28,4,81623.67,2,1,1,156791.36,0,14-04-2019
91,15757535,647,2,2,44,4,0,3,1,1,174205.22,1,28-12-2018
92,15731511,808,1,1,45,7,118626.55,2,1,0,147132.46,0,10-01-2016
93,15809248,524,1,2,36,6,0,2,1,0,109614.57,0,04-06-2017
94,15640635,769,1,1,29,4,0,2,1,1,172290.61,0,31-12-2018
95,15676966,730,2,1,42,4,0,2,0,1,85982.47,0,23-04-2019
96,15699461,515,2,1,35,5,176273.95,1,0,1,121277.78,0,03-01-2018
97,15738721,773,2,1,41,6,102827.44,1,0,1,64595.25,0,27-02-2017
98,15693683,814,3,1,29,7,97086.4,2,1,1,197276.13,0,21-09-2016
99,15604348,710,2,1,22,4,0,2,0,0,99645.04,0,24-08-2019
100,15633059,413,1,1,34,3,0,2,0,0,6534.18,0,23-11-2019
101,15808582,665,1,2,40,3,0,1,1,1,161848.03,0,06-12-2019
102,15743192,623,1,2,44,5,0,2,0,0,167162.43,0,15-10-2017
103,15580146,738,1,1,31,5,82674.15,1,1,0,41970.72,0,29-07-2018
104,15776605,528,2,1,36,4,0,2,1,0,60536.56,0,03-06-2019
105,15804919,670,2,2,65,3,0,1,1,1,177655.68,1,18-11-2019
106,15613854,622,2,2,46,4,107073.27,2,1,1,30984.59,1,30-03-2019
107,15599195,582,3,1,32,4,88938.62,1,1,1,10054.53,0,24-07-2019
108,15812878,785,3,2,36,3,99806.85,1,0,1,36976.52,0,24-10-2019
109,15602312,605,2,1,33,5,150092.8,1,0,0,71862.79,0,28-05-2018
110,15744689,479,3,1,35,5,92833.89,1,1,0,99449.86,1,10-09-2018
111,15803526,685,3,1,30,4,90536.81,1,0,1,63082.88,0,03-07-2019
112,15665790,538,3,1,39,4,108055.1,2,1,0,27231.26,0,21-09-2019
113,15715951,562,1,1,42,6,100238.35,1,0,0,86797.41,0,01-10-2016
114,15591100,675,2,1,36,5,106190.55,1,0,1,22994.32,0,14-11-2017
115,15609618,721,3,1,28,3,154475.54,2,0,1,101300.94,1,05-10-2019
116,15675522,628,3,2,30,6,132351.29,2,1,1,74169.13,0,31-07-2017
117,15705512,668,3,2,37,4,167864.4,1,1,0,115638.29,0,19-11-2018
118,15698028,506,1,2,41,5,0,2,1,0,31766.3,0,03-06-2018
119,15661670,524,3,2,31,3,107818.63,1,1,0,199725.39,1,26-09-2019
120,15600781,699,3,1,34,5,185173.81,2,1,0,120834.48,0,24-12-2017
121,15682472,828,1,1,34,3,129433.34,2,0,0,38131.77,0,05-11-2019
122,15580203,674,2,1,39,6,120193.42,1,0,0,100130.95,0,21-12-2016
123,15690673,656,1,2,39,4,0,2,1,0,141069.88,0,20-06-2019
124,15760085,684,3,2,48,7,126384.42,1,1,1,198129.36,0,30-07-2016
125,15779659,625,1,2,28,3,0,1,0,0,183646.41,0,16-10-2019
126,15627360,432,1,1,42,6,152603.45,1,1,0,110265.24,1,22-11-2016
127,15671137,549,1,2,52,4,0,1,0,1,8636.05,1,03-12-2018
128,15782688,625,3,1,56,4,148507.24,1,1,0,46824.08,1,08-12-2018
129,15575492,828,1,2,41,3,0,2,1,0,171378.77,0,02-12-2019
130,15591607,770,1,1,24,7,101827.07,1,1,0,167256.35,0,13-08-2016
131,15740404,758,1,2,34,4,0,2,1,1,124226.16,0,12-09-2019
132,15718369,795,3,2,33,3,130862.43,1,1,1,114935.21,0,13-11-2019
133,15677871,687,1,1,38,6,122570.87,1,1,1,35608.88,0,13-11-2016
134,15642004,686,1,1,25,5,0,2,0,1,16459.37,0,18-12-2017
135,15712543,789,3,1,39,4,124828.46,2,1,1,124411.08,0,07-01-2019
